Date,High,Low,Open,Close,Volume,Adj Close
1993-11-03,14.5,14.125,14.25,14.25,23000.0,14.25
1993-11-04,14.375,14.125,14.125,14.125,12900.0,14.125
1993-11-05,14.375,14.0,14.0,14.0,145000.0,14.0
1993-11-08,14.75,14.25,14.625,14.625,26200.0,14.625
1993-11-09,14.75,14.375,14.5,14.5,39200.0,14.5
1993-11-10,14.875,14.125,14.75,14.75,14800.0,14.75
1993-11-11,14.875,14.5,14.625,14.625,16400.0,14.625
1993-11-12,14.75,14.5,14.625,14.625,39400.0,14.625
1993-11-15,14.625,14.125,14.25,14.25,86100.0,14.25
1993-11-16,14.5,14.25,14.5,14.5,15800.0,14.5
1993-11-17,14.75,14.25,14.625,14.625,24600.0,14.625
1993-11-18,14.75,14.375,14.625,14.625,19800.0,14.625
1993-11-19,14.625,14.375,14.625,14.625,12900.0,14.625
1993-11-22,14.625,14.375,14.5,14.5,28300.0,14.5
1993-11-23,14.5,14.125,14.25,14.25,27900.0,14.25
1993-11-24,14.5,14.125,14.25,14.25,24600.0,14.25
1993-11-26,14.5,14.25,14.375,14.375,3000.0,14.375
1993-11-29,14.625,14.375,14.625,14.625,18200.0,14.625
1993-11-30,14.625,14.375,14.5,14.5,32800.0,14.5
1993-12-01,14.625,14.25,14.5,14.5,107400.0,14.5
1993-12-02,14.625,14.125,14.375,14.375,44700.0,14.375
1993-12-03,14.5,14.125,14.375,14.375,41900.0,14.375
1993-12-06,14.5,14.125,14.375,14.375,39900.0,14.375
1993-12-07,14.5,14.25,14.375,14.375,15100.0,14.375
1993-12-08,14.625,14.125,14.25,14.25,78400.0,14.25
1993-12-09,14.625,14.25,14.375,14.375,78500.0,14.375
1993-12-10,14.875,14.375,14.625,14.625,33500.0,14.625
1993-12-13,14.875,14.375,14.5,14.5,35300.0,14.5
1993-12-14,14.875,14.5,14.5,14.5,19900.0,14.5
1993-12-15,14.75,14.375,14.375,14.375,25100.0,14.375
1993-12-16,14.75,14.375,14.375,14.375,35100.0,14.375
1993-12-17,14.875,14.25,14.375,14.375,65600.0,14.375
1993-12-20,14.375,14.125,14.375,14.375,77600.0,14.375
1993-12-21,14.625,14.25,14.375,14.375,29400.0,14.375
1993-12-22,14.875,14.5,14.75,14.75,31100.0,14.75
1993-12-23,15.125,14.625,15.125,15.125,24200.0,15.125
1993-12-27,15.375,15.0,15.125,15.125,14900.0,15.125
1993-12-28,15.0,14.75,15.0,15.0,7400.0,15.0
1993-12-29,14.875,14.625,14.875,14.875,9500.0,14.875
1993-12-30,14.75,14.375,14.75,14.75,43800.0,14.75
1993-12-31,15.125,14.625,15.125,15.125,21700.0,15.125
1994-01-03,15.125,14.75,14.75,14.75,20300.0,14.75
1994-01-04,15.125,14.875,15.125,15.125,20700.0,15.125
1994-01-05,15.5,15.125,15.125,15.125,24000.0,15.125
1994-01-06,15.375,14.875,14.875,14.875,33400.0,14.875
1994-01-07,15.0,14.625,14.625,14.625,42100.0,14.625
1994-01-10,14.75,14.5,14.625,14.625,19200.0,14.625
1994-01-11,14.75,14.5,14.75,14.75,12700.0,14.75
1994-01-12,14.75,14.625,14.75,14.75,19500.0,14.75
1994-01-13,14.75,14.5,14.5,14.5,20100.0,14.5
1994-01-14,14.75,14.625,14.625,14.625,19200.0,14.625
1994-01-17,14.75,14.375,14.5,14.5,19300.0,14.5
1994-01-18,14.75,14.375,14.375,14.375,31100.0,14.375
1994-01-19,14.625,14.125,14.25,14.25,28500.0,14.25
1994-01-20,14.625,14.0,14.25,14.25,52200.0,14.25
1994-01-21,14.25,13.75,14.125,14.125,151600.0,14.125
1994-01-24,14.25,13.625,13.75,13.75,19300.0,13.75
1994-01-25,14.125,13.75,13.875,13.875,20700.0,13.875
1994-01-26,14.125,13.75,14.0,14.0,27400.0,14.0
1994-01-27,14.0,13.625,13.625,13.625,41900.0,13.625
1994-01-28,13.625,13.125,13.5,13.5,24100.0,13.5
1994-01-31,13.625,13.375,13.625,13.625,15900.0,13.625
1994-02-01,13.75,13.125,13.375,13.375,25900.0,13.375
1994-02-02,13.75,12.625,13.75,13.75,36400.0,13.75
1994-02-03,14.125,13.625,14.0,14.0,52800.0,14.0
1994-02-04,14.125,13.625,13.625,13.625,44400.0,13.625
1994-02-07,14.25,13.5,14.125,14.125,118500.0,14.125
1994-02-08,14.625,14.0,14.5,14.5,148300.0,14.5
1994-02-09,14.625,14.375,14.375,14.375,40600.0,14.375
1994-02-10,14.5,14.25,14.25,14.25,20500.0,14.25
1994-02-11,14.375,14.25,14.25,14.25,4300.0,14.25
1994-02-14,14.375,14.25,14.25,14.25,13700.0,14.25
1994-02-15,14.625,14.25,14.5,14.5,35000.0,14.5
1994-02-16,14.5,14.375,14.5,14.5,29800.0,14.5
1994-02-17,14.5,14.375,14.5,14.5,40600.0,14.5
1994-02-18,14.5,14.375,14.375,14.375,18900.0,14.375
1994-02-22,14.5,14.25,14.5,14.5,88500.0,14.5
1994-02-23,14.5,14.375,14.5,14.5,27100.0,14.5
1994-02-24,14.5,14.375,14.375,14.375,14900.0,14.375
1994-02-25,14.5,14.375,14.5,14.5,11200.0,14.5
1994-02-28,15.125,14.5,14.625,14.625,24300.0,14.625
1994-03-01,15.375,14.75,15.375,15.375,21100.0,15.375
1994-03-02,15.5,15.125,15.5,15.5,20200.0,15.5
1994-03-03,15.375,15.125,15.125,15.125,21300.0,15.125
1994-03-04,15.25,14.875,14.875,14.875,5700.0,14.875
1994-03-07,14.75,14.5,14.625,14.625,69300.0,14.625
1994-03-08,14.625,14.375,14.375,14.375,18500.0,14.375
1994-03-09,14.5,14.25,14.25,14.25,42600.0,14.25
1994-03-10,14.5,14.25,14.5,14.5,58700.0,14.5
1994-03-11,14.5,14.25,14.375,14.375,8000.0,14.375
1994-03-14,14.5,14.25,14.5,14.5,19400.0,14.5
1994-03-15,15.25,14.75,15.0,15.0,54200.0,15.0
1994-03-16,15.25,15.0,15.125,15.125,18000.0,15.125
1994-03-17,15.375,15.0,15.25,15.25,38900.0,15.25
1994-03-18,15.75,15.375,15.625,15.625,24700.0,15.625
1994-03-21,15.875,15.625,15.875,15.875,4900.0,15.875
1994-03-22,16.125,15.75,15.75,15.75,27900.0,15.75
1994-03-23,15.875,15.5,15.875,15.875,11200.0,15.875
1994-03-24,16.0,15.75,15.75,15.75,11800.0,15.75
1994-03-25,16.0,15.375,15.5,15.5,8700.0,15.5
